"Field name","Label (DE)","Label (EN)","Label (FR)","Description (DE)","Description (EN)","Description (FR)"
"hier = Reihenfolge wie in Texte_Deutsch.doc (Reihenfolge, wie sie auf der Webpage angezeigt werden soll)",,,,,,
,,,,"Um Ihre Monographie auf recensio.net zu präsentieren, füllen Sie bitte das nachfolgende Formular aus. Die mit * gekennzeichneten Felder sind Pflichtfelder. Bitte beachten Sie, dass eine Präsentation Ihrer Thesen zwar in nahezu allen europäischen Sprachen möglich ist, wir Ihnen jedoch empfehlen, eine der großen Wissenschaftssprachen zu wählen. Sie verleihen Ihrer Präsentation so größtmöglichste Aufmerksamkeit und erhöhen die Wahrscheinlichkeit einer Diskussion Ihrer Thesen.
Sie können alle Angaben zu einem späteren Zeitpunkt verändern oder ergänzen.","Please fill in the following form in order to present your monograph on recensio.net. All fields marked with * are required.
Please keep in mind that you may present your core statements in nearly all European languages but that we would advise you to choose one of the main academic languages. This way your presentation will attract much more attention and discussion of your statements is much more likely.
You can make changes or additions to all data at a later date.","Afin de présenter votre monographie sur recensio.net, veuillez remplir le formulaire suivant. Les champs marqué d’un astérisque (*) sont obligatoires. Bien que la présentation de vos thèses puisse être proposée dans toute langue européenne, nous vous conseillons cependant d’utiliser de préférence l’une des langues les plus usitées dans le dialogue scientifique actuel. Vous conférerez ainsi une plus grande visibilité à votre présentation et celle-ci sera plus susceptible d’être commentée. Vous avez également la possibilité d’ajouter ou de modifier des informations ultérieurement."
,,,,"Sind Sie registrierte/r Benutzer/in?*
#nein  #ja","Are you a registered user? *  no   yes ","Avez-vous déjà un compte d‘utilisateur ?*  non   oui"
"isbn","ISBN","ISBN","ISBN","Schreibweise frei. Bei mehreren Nummern bitte jene der Hardcoverausgabe wählen.","With or without hyphens. In case of several numbers please choose the hard cover edition.","Avec ou sans tiret. En cas de plusieurs ISBNs veuillez choisir celui de l’édition grand format."
,,,,"Ist die von Ihnen präsentierte Schrift im Volltext kostenlos online verfügbar?
#nein #ja","Is the monograph you are presenting available free of charge online?
#no #yes","La monographie que vous souhaitez présenter est-elle disponible en libre accès (texte intégral et gratuit) ?
#non #oui"
"uri","URL/URN [der präsentierten Schrift]","URL/URN [of presented text]","URL/URN",,,
"presentation","HTML","HTML","HTML","Kernthesen
Bitte formulieren Sie hier kurz und übersichtlich die von Ihnen erarbeiteten Thesen, Ihre Methodik und/oder Ihre Auseinandersetzung mit bestehenden Forschungsansätzen. Vermeiden Sie dabei bitte bloße Inhaltsangaben und scheuen Sie sich nicht, Ihre Thesen provokant zu formulieren.
Das Einfügen von Absätzen macht Ihre Ausführungen leichter lesbar.
Durch das Kommentieren einer bereits vorhandenen Rezension/Präsentation auf recensio.net erhöhen Sie die für Ihre eigene Präsentation zur Verfügung stehende Zeichenzahl von 4000 auf 6000.
Bitte beachten Sie, dass sowohl Kommentare als auch Präsentationen vor ihrer Publikation durch die Redaktion geprüft werden, um Missbrauch zu verhindern. Dadurch sind die Texte frühestens nach 3 Werktagen öffentlich einsehbar.","Core statements
Please give a brief and clear outline of your thesis statements, your methodology and/or your discussion of existing research approaches. We would kindly ask you to avoid a mere summary of your text. Don’t be shy, however, of wording your statements in a provocative way. By separating out paragraphs you will make your statement more readable. 
You can increase the number of characters available for your own presentation from 4000 to 6000 by commenting on an already existing review/presentation on recensio.net.
Please note that both comments and presentations will be checked by the editorial team before being published in order to prevent misuse. Because of this texts will be availabe online at the earliest after three working days.","Principales thèses développées
Veuillez ici formuler de manière succincte les principales thèses développées dans votre ouvrage, votre méthodologie et/ou votre point de vue sur les approches de recherches actuelles. Veuillez éviter le simple copier/coller de la table des matières et n’ayez pas peur de faire débat.
La présentation de votre texte sous forme de paragraphes vous permettra de rendre votre texte plus lisible.
En commentant une recension/présentation déjà en ligne sur recensio.net, le nombre de caractères attribué à votre présentation personnelle passera de 4000 à 6000 caractères.
Les commentaires et présentations suggérés sur recensio.net sont préalablement filtrés par un modérateur, afin d’éviter tout abus. De ce fait, les textes sont publiés dans un délai minimum de trois jours ouvrés, à partir leur date de soumission sur la plateforme."
"existingOnlineReviews","Name der Zeitschrift/Zeitung/Jahrbuch","name of journal/newspaper/yearbook","Nom de la revue/journal/annuaire ","Bestehen bereits online verfügbare Rezensionen über Ihr Werk?","Are there reviews on your text which are already available online?","Des recensions de votre ouvrage sont-elles disponibles en ligne ?"
"publishedReviews","URL/URN [der online verfügbaren Rezension]","URL/URN [of online existing review]","URL/URN","Weitere Online-Rezension hinzufügen","Add another online review","Ajouter une recension"
,"Name der Zeitschrift/Zeitung/Jahrbuch mit Band, Jahr und Seitenangaben","name of journal/newspaper/yearbook with volume, year and number of pages","Nom de la revue/journal/annuaire, volume, année et nombre de pages","Tragen Sie hier den Erscheinungsort evtl. bereits gedruckt vorhandener Rezensionen Ihres Werks ein.","Insert here the place of publication of reviews on your text that have already been published in print.","Veuillez insérer le lieu de publication d’éventuelles recensions de vos travaux, publiées en version papier."
,"Inhaltsverzeichnis der von Ihnen präsentierten Monographie","Table of contents of monograph you are presenting","Table des matières de la monographie présentée",,,
,"URL/URN [persönliche Webpage des Autors]","URL/URN [personal webpage author]","URL/URN","Hier haben Sie die Möglichkeit, Ihre persönliche Website zu verlinken (z.B. innerhalb eines Historikernetzwerks, einer Universität oder Forschungsorganisation). Diese sollte möglichst persistent sein bzw. im Falle einer Änderung (etwa Wechsel der Universität) von Ihnen korrigiert werden.","Here you can link to your personal website (e.g. within a network of historians, a university or research institution). It should preferably be persistent or be corrected by you in case of changes (e.g. change of university).","Vous avez ici la possibilité d’insérer un lien vers votre site personnel (site d’un réseau d’historiens, d’une université ou d’une institution de recherche par exemple). Dans la mesure du possible, cette adresse doit être durable, ou modifiée par vos soins, en cas de changement d’université. "
"coverPicture","Hochladen des Coverbildes","upload of cover picture","Ajouter la page de couverture",,,
"presentationAuthorHonorific","Anrede [Autor Präsentation]","Title [author/presentation]","Titre","Autor der Präsentation","author of presentation","Auteur de la présentation"
"presentationAuthorLastname","Nachname [Autor Präsentation]","Last name [author/presentation]","Nom",,,
"presentationAuthorFirstname","Vorname [Autor Präsentation]","First name [author/presentation]","Prénom",,,
"presentationAuthorEmail","E-Mail-Adresse (nicht öffentlich) [Autor Präsentation]","E-Mail-Address (not publicly visible) [author presentation]","Adresse email (non publiée)",,,
"PresentedTextAuthorLastname","Nachname [Autor Monographie]","Last name [author/monograph]","Nom","Autor(en) der präsentierten Monographie","author(s) of presented monograph","Auteur(s) de la monographie présentée"
"PresentedTextAuthorFirstname","Vorname [Autor Monographie]","First name [author/monograph]","Prénom","Weiteren Autor hinzufügen","Add another author","Ajouter un auteur"
"languagePresentedText","Sprache (n) der präsentierten Monographie","Language(s) of presented monograph","Langue(s) de la monographie présentée",,,
"languagePresentation","Sprache der Präsentation","Language of presentation","Langue de la présentation",,,
"referenceAuthors","Nachname (Bezugsautor)","Last name (reference author)","Nom (auteur de référence)","Bezugsautoren
Mit welchen wissenschaftlichen Autoren haben Sie sich in Ihrer Monographie verstärkt auseinandergesetzt? Wir bitten Sie um möglichst detaillierte Angaben zu den darunter befindlichen „zeitgenössischen“ Namen, da die recensio.net-Redaktion i.d.R. versuchen wird, diese Autoren über die Existenz Ihrer Monographie, Ihrer Präsentation und über die Kommentarmöglichkeit zu informieren. Lediglich der Name des Bezugsautors wird öffentlich sichtbar sein. 
Historische Bezugspersonen (Bsp.: Aristoteles, Charles de Gaulle) bitten wir Sie, weiter unten als Schlagwörter zu vergeben.","Reference authors
Which scholarly author’s work have you mainly engaged with in your monograph?
Please give us the most detailed information possible on the »contemporary« names amongst them as the recensio.net editorial team will usually try to inform these authors of the existence of your monograph, your presentation, and the chance to comment on it. Only the reference author’s name will be visible to the public. 
Please name historical reference authors (e.g. Aristotle, Charles de Gaulle) further below as subject heading.","Auteur(s) de référence
Sur quels auteurs scientifiques vous êtes-vous essentiellement appuyé dans votre ouvrage ?
Veuillez lister ici, dans la mesure du possible, le nom d’auteurs contemporains encore en vie, afin que la rédaction recensio.net puisse les informer de l’existence de votre monographie, de votre présentation et de la fonction commentaire. Seul le nom des auteurs cités sera visible sur la plateforme.
Les noms de personnalités historiques (ex : Aristote, Charles de Gaulle) doivent être insérés dans le champ « mots-clés »."
,"Vorname (Bezugsautor)","First name (reference author)","Prénom (auteur de référence)",,,
,"E-Mail-Adresse, Postadresse, Telefonnummer (nicht öffentlich)","E-mail-address, postal address, phone number (not publicly visible)","Adresse e-mail, adresse postale et numéro de téléphone (non publiés)","Weiteren Bezugsautor hinzufügen","Add another reference author","Ajouter un auteur de référence"
"title","Haupttitel","Main Title","Titre","Angaben zum präsentierten Werk","Information on presented work","Informations sur l’ouvrage présenté"
"subtitle","Untertitel","Subtitle","Sous-titre",,,
"yearOfPublication","Erscheinungsjahr","Year of publication","Date de publication",,,
"placeOfPublication","Erscheinungsort","Place of publication","Lieu de publication",,,
"publisher","Verlag","Publisher","Éditeur",,,
"series","Reihe","Series","Collection",,,
"seriesVol","Reihennummer","Series (vol.)","Volume",,,
"pages","Seitenzahl","Pages","Nombre de pages",,,
"ddcSubject","Thematische Klassifikation","Subject classification","Thème",,,
"ddcTime","Zeitliche Klassifikation","Time classification","Période",,,
"ddcPlace","Regionale Klassifikation","Regional classification","Espace",,,
"subject","Schlagwörter [Dropdown-Auswahl]","Subject headings","Mots-clés",,,
,"[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","weiteres Schlagwort hinzufügen","add another subject heading","Ajouter un mot-clé"
,"[""Tick-Box""]","[""Tick-Box""]","[""Tick-Box""]","Ich bin damit einverstanden, dass meine Präsentation von recensio.net unter der Creative-Commons-Lizenz Namensnennung-Keine kommerzielle Nutzung-Keine Bearbeitung [Link] (CC-BY-NC-ND) publiziert wird. Sie darf unter diesen Bedingungen von Plattformnutzern elektronisch benutzt, übermittelt, ausgedruckt und zum Download bereitgestellt werden. 
Die Redaktion behält sich redaktionelle Eingriffe in eingereichte Beiträge vor (siehe dazu die Benutzerrichtlinien [Link]).","I agree that my presentation will be published by recensio.net under the creative-commons-licence Attribution-NonCommercial-NoDerivs [link] (CC-BY-NC-ND). Under these conditions, platform users may use it electronically, distribute it, print it and provide it for download.
The editorial team reserves its right to change incoming posts (see our user guidelines [link] to this).","Je suis d’accord pour que ma présentation soit publiée par recensio.net sous licence Creative Commons paternité – pas d’utilisation commerciale – pas de modification (CC-BY-NC-ND). J’autorise donc son utilisation, sa diffusion, son impression et son téléchargement par les utilisateurs de la plateforme.
La rédaction se réserve le droit de modifier le texte selon les conditions d’utilisation."
,"Senden","Send","Envoyer",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"hier = Sortierung nach Reviewed Text / Review (soweit möglich)",,,,,,
,,,,,,
"Presented Text",,,,,,
,,,,"Um Ihre Monographie auf recensio.net zu präsentieren, füllen Sie bitte das nachfolgende Formular aus. Die mit * gekennzeichneten Felder sind Pflichtfelder. Bitte beachten Sie, dass eine Präsentation Ihrer Thesen zwar in nahezu allen europäischen Sprachen möglich ist, wir Ihnen jedoch empfehlen, eine der großen Wissenschaftssprachen zu wählen. Sie verleihen Ihrer Präsentation so größtmöglichste Aufmerksamkeit und erhöhen die Wahrscheinlichkeit einer Diskussion Ihrer Thesen.
Sie können alle Angaben zu einem späteren Zeitpunkt verändern oder ergänzen.","Please fill in the following form in order to present your monograph on recensio.net. All fields marked with * are required.
Please keep in mind that you may present your core statements in nearly all European languages but that we would advise you to choose one of the main academic languages. This way your presentation will attract much more attention and discussion of your statements is much more likely.
You can make changes or additions to all data at a later date.","Afin de présenter votre monographie sur recensio.net, veuillez remplir le formulaire suivant. Les champs marqué d’un astérisque (*) sont obligatoires. Bien que la présentation de vos thèses puisse être proposée dans toute langue européenne, nous vous conseillons cependant d’utiliser de préférence l’une des langues les plus usitées dans le dialogue scientifique actuel. Vous conférerez ainsi une plus grande visibilité à votre présentation et celle-ci sera plus susceptible d’être commentée. Vous avez également la possibilité d’ajouter ou de modifier des informations ultérieurement."
,,,,"Sind Sie registrierte/r Benutzer/in?*
#nein  #ja","Are you a registered user? *  no   yes ","Avez-vous déjà un compte d‘utilisateur ?*  non   oui"
"isbn","ISBN","ISBN","ISBN","Schreibweise frei. Bei mehreren Nummern bitte jene der Hardcoverausgabe wählen.","With or without hyphens. In case of several numbers please choose the hard cover edition.","Avec ou sans tiret. En cas de plusieurs ISBNs veuillez choisir celui de l’édition grand format."
,,,,"Ist die von Ihnen präsentierte Schrift im Volltext kostenlos online verfügbar?
#nein #ja","Is the monograph you are presenting available free of charge online?
#no #yes","La monographie que vous souhaitez présenter est-elle disponible en libre accès (texte intégral et gratuit) ?
#non #oui"
"uri","URL/URN [der präsentierten Schrift]","URL/URN [of presented text]","URL/URN",,,
,"Inhaltsverzeichnis der von Ihnen präsentierten Monographie","Table of contents of monograph you are presenting","Table des matières de la monographie présentée",,,
"coverPicture","Hochladen des Coverbildes","upload of cover picture","Ajouter la page de couverture",,,
"authors","Nachname [Autor Monographie]","Last name [author/monograph]","Nom","Autor(en) der präsentierten Monographie","author(s) of presented monograph","Auteur(s) de la monographie présentée"
,"Vorname [Autor Monographie]","First name [author/monograph]","Prénom","Weiteren Autor hinzufügen","Add another author","Ajouter un auteur"
"languagePresentedText","Sprache (n) der präsentierten Monographie","Language(s) of presented monograph","Langue(s) de la monographie présentée",,,
"title","Haupttitel","Main Title","Titre","Angaben zum präsentierten Werk","Information on presented work","Informations sur l’ouvrage présenté"
"subtitle","Untertitel","Subtitle","Sous-titre",,,
"yearOfPublication","Erscheinungsjahr","Year of publication","Date de publication",,,
"placeOfPublication","Erscheinungsort","Place of publication","Lieu de publication",,,
"publisher","Verlag","Publisher","Éditeur",,,
"series","Reihe","Series","Collection",,,
"seriesVol","Reihennummer","Series (vol.)","Volume",,,
"pages","Seitenzahl","Pages","Nombre de pages",,,
"ddcSubject","Thematische Klassifikation","Subject classification","Thème",,,
"ddcTime","Zeitliche Klassifikation","Time classification","Période",,,
"ddcPlace","Regionale Klassifikation","Regional classification","Espace",,,
"subject","Schlagwörter [Dropdown-Auswahl]","Subject headings","Mots-clés",,,
,"[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","weiteres Schlagwort hinzufügen","add another subject heading","Ajouter un mot-clé"
,,,,,,
"Presentation",,,,,,
"presentation","HTML","HTML","HTML","Kernthesen
Bitte formulieren Sie hier kurz und übersichtlich die von Ihnen erarbeiteten Thesen, Ihre Methodik und/oder Ihre Auseinandersetzung mit bestehenden Forschungsansätzen. Vermeiden Sie dabei bitte bloße Inhaltsangaben und scheuen Sie sich nicht, Ihre Thesen provokant zu formulieren.
Das Einfügen von Absätzen macht Ihre Ausführungen leichter lesbar.
Durch das Kommentieren einer bereits vorhandenen Rezension/Präsentation auf recensio.net erhöhen Sie die für Ihre eigene Präsentation zur Verfügung stehende Zeichenzahl von 4000 auf 6000.
Bitte beachten Sie, dass sowohl Kommentare als auch Präsentationen vor ihrer Publikation durch die Redaktion geprüft werden, um Missbrauch zu verhindern. Dadurch sind die Texte frühestens nach 3 Werktagen öffentlich einsehbar.","Core statements
Please give a brief and clear outline of your thesis statements, your methodology and/or your discussion of existing research approaches. We would kindly ask you to avoid a mere summary of your text. Don’t be shy, however, of wording your statements in a provocative way. By separating out paragraphs you will make your statement more readable. 
You can increase the number of characters available for your own presentation from 4000 to 6000 by commenting on an already existing review/presentation on recensio.net.
Please note that both comments and presentations will be checked by the editorial team before being published in order to prevent misuse. Because of this texts will be availabe online at the earliest after three working days.","Principales thèses développées
Veuillez ici formuler de manière succincte les principales thèses développées dans votre ouvrage, votre méthodologie et/ou votre point de vue sur les approches de recherches actuelles. Veuillez éviter le simple copier/coller de la table des matières et n’ayez pas peur de faire débat.
La présentation de votre texte sous forme de paragraphes vous permettra de rendre votre texte plus lisible.
En commentant une recension/présentation déjà en ligne sur recensio.net, le nombre de caractères attribué à votre présentation personnelle passera de 4000 à 6000 caractères.
Les commentaires et présentations suggérés sur recensio.net sont préalablement filtrés par un modérateur, afin d’éviter tout abus. De ce fait, les textes sont publiés dans un délai minimum de trois jours ouvrés, à partir leur date de soumission sur la plateforme."
"existingOnlineReviews","Name der Zeitschrift/Zeitung/Jahrbuch","name of journal/newspaper/yearbook","Nom de la revue/journal/annuaire ","Bestehen bereits online verfügbare Rezensionen über Ihr Werk?","Are there reviews on your text which are already available online?","Des recensions de votre ouvrage sont-elles disponibles en ligne ?"
"publishedReviews","URL/URN [der online verfügbaren Rezension]","URL/URN [of online existing review]","URL/URN","Weitere Online-Rezension hinzufügen","Add another online review","Ajouter une recension"
,"Name der Zeitschrift/Zeitung/Jahrbuch mit Band, Jahr und Seitenangaben","name of journal/newspaper/yearbook with volume, year and number of pages","Nom de la revue/journal/annuaire, volume, année et nombre de pages","Tragen Sie hier den Erscheinungsort evtl. bereits gedruckt vorhandener Rezensionen Ihres Werks ein.","Insert here the place of publication of reviews on your text that have already been published in print.","Veuillez insérer le lieu de publication d’éventuelles recensions de vos travaux, publiées en version papier."
,"URL/URN [persönliche Webpage des Autors]","URL/URN [personal webpage author]","URL/URN","Hier haben Sie die Möglichkeit, Ihre persönliche Website zu verlinken (z.B. innerhalb eines Historikernetzwerks, einer Universität oder Forschungsorganisation). Diese sollte möglichst persistent sein bzw. im Falle einer Änderung (etwa Wechsel der Universität) von Ihnen korrigiert werden.","Here you can link to your personal website (e.g. within a network of historians, a university or research institution). It should preferably be persistent or be corrected by you in case of changes (e.g. change of university).","Vous avez ici la possibilité d’insérer un lien vers votre site personnel (site d’un réseau d’historiens, d’une université ou d’une institution de recherche par exemple). Dans la mesure du possible, cette adresse doit être durable, ou modifiée par vos soins, en cas de changement d’université. "
"presentationAuthorHonorific","Anrede [Autor Präsentation]","Title [author/presentation]","Titre","Autor der Präsentation","author of presentation","Auteur de la présentation"
"presentationAuthorLastname","Nachname [Autor Präsentation]","Last name [author/presentation]","Nom",,,
"presentationAuthorFirstname","Vorname [Autor Präsentation]","First name [author/presentation]","Prénom",,,
"presentationAuthorEmail","E-Mail-Adresse (nicht öffentlich) [Autor Präsentation]","E-Mail-Address (not publicly visible) [author presentation]","Adresse email (non publiée)",,,
"languagePresentation","Sprache der Präsentation","Language of presentation","Langue de la présentation",,,
"referenceAuthors","Nachname (Bezugsautor)","Last name (reference author)","Nom (auteur de référence)","Bezugsautoren
Mit welchen wissenschaftlichen Autoren haben Sie sich in Ihrer Monographie verstärkt auseinandergesetzt? Wir bitten Sie um möglichst detaillierte Angaben zu den darunter befindlichen „zeitgenössischen“ Namen, da die recensio.net-Redaktion i.d.R. versuchen wird, diese Autoren über die Existenz Ihrer Monographie, Ihrer Präsentation und über die Kommentarmöglichkeit zu informieren. Lediglich der Name des Bezugsautors wird öffentlich sichtbar sein. 
Historische Bezugspersonen (Bsp.: Aristoteles, Charles de Gaulle) bitten wir Sie, weiter unten als Schlagwörter zu vergeben.","Reference authors
Which scholarly author’s work have you mainly engaged with in your monograph?
Please give us the most detailed information possible on the »contemporary« names amongst them as the recensio.net editorial team will usually try to inform these authors of the existence of your monograph, your presentation, and the chance to comment on it. Only the reference author’s name will be visible to the public. 
Please name historical reference authors (e.g. Aristotle, Charles de Gaulle) further below as subject heading.","Auteur(s) de référence
Sur quels auteurs scientifiques vous êtes-vous essentiellement appuyé dans votre ouvrage ?
Veuillez lister ici, dans la mesure du possible, le nom d’auteurs contemporains encore en vie, afin que la rédaction recensio.net puisse les informer de l’existence de votre monographie, de votre présentation et de la fonction commentaire. Seul le nom des auteurs cités sera visible sur la plateforme.
Les noms de personnalités historiques (ex : Aristote, Charles de Gaulle) doivent être insérés dans le champ « mots-clés »."
,"Vorname (Bezugsautor)","First name (reference author)","Prénom (auteur de référence)",,,
,"E-Mail-Adresse, Postadresse, Telefonnummer (nicht öffentlich)","E-mail-address, postal address, phone number (not publicly visible)","Adresse e-mail, adresse postale et numéro de téléphone (non publiés)","Weiteren Bezugsautor hinzufügen","Add another reference author","Ajouter un auteur de référence"
,"[""Tick-Box""]","[""Tick-Box""]","[""Tick-Box""]","Ich bin damit einverstanden, dass meine Präsentation von recensio.net unter der Creative-Commons-Lizenz Namensnennung-Keine kommerzielle Nutzung-Keine Bearbeitung [Link] (CC-BY-NC-ND) publiziert wird. Sie darf unter diesen Bedingungen von Plattformnutzern elektronisch benutzt, übermittelt, ausgedruckt und zum Download bereitgestellt werden. 
Die Redaktion behält sich redaktionelle Eingriffe in eingereichte Beiträge vor (siehe dazu die Benutzerrichtlinien [Link]).","I agree that my presentation will be published by recensio.net under the creative-commons-licence Attribution-NonCommercial-NoDerivs [link] (CC-BY-NC-ND). Under these conditions, platform users may use it electronically, distribute it, print it and provide it for download.
The editorial team reserves its right to change incoming posts (see our user guidelines [link] to this).","Je suis d’accord pour que ma présentation soit publiée par recensio.net sous licence Creative Commons paternité – pas d’utilisation commerciale – pas de modification (CC-BY-NC-ND). J’autorise donc son utilisation, sa diffusion, son impression et son téléchargement par les utilisateurs de la plateforme.
La rédaction se réserve le droit de modifier le texte selon les conditions d’utilisation."
,"Senden","Send","Envoyer",,,
,,,,,,
,,,,,,
"Correct",,,,,,
"Slightly different",,,,,,
"Not used",,,,,,
"Needed",,,,,,
